Company,Product,TypeName,Screen Size (inches),Resolution,IPS Panel,Retina Display,Full HD,CPU company,CPU series,CPU power Rating,CPU frequency(GHz),RAM (GB),SSD (GB),Flash Storage (GB),HDD (GB),"SSHD (Hybrid, GB)",GPU company,GPU series,Operating System,Weight,Price (INR)
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,0,0,0,Intel,i5,7200U,2.3,8,128.0,0.0,0.0,0.0,Intel,Iris Plus Graphics 640,Mac OS (New),1.37,122582
Apple,Macbook Air,Ultrabook,13.3,1440x900,0,0,0,Intel,i5,7200U,1.8,8,0.0,0.0,0.0,0.0,Intel,HD Graphics 6000,Mac OS (New),1.34,82253
HP,250 G6,Notebook,15.6,1920x1080,0,0,0,Intel,i5,7200U,2.5,8,256.0,0.0,0.0,0.0,Intel,HD Graphics 620,Windows 10,1.86,52612
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,0,0,0,Intel,i7,7200U,2.7,16,512.0,0.0,0.0,0.0,AMD,Radeon Pro 455,Mac OS (New),1.83,232177
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,0,0,0,Intel,i5,7200U,3.1,8,256.0,0.0,0.0,0.0,Intel,Iris Plus Graphics 650,Mac OS (New),1.37,165029
Acer,Aspire 3,Notebook,15.6,1366x768,0,0,0,AMD,A9,9420U,3.0,4,0.0,0.0,500.0,0.0,AMD,Radeon R5,Windows 10,2.1,36600
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,0,0,0,Intel,i7,7200U,2.2,16,0.0,0.0,0.0,0.0,Intel,Iris Pro Graphics,Mac OS X (Old),2.04,195807
Apple,Macbook Air,Ultrabook,13.3,1440x900,0,0,0,Intel,i5,7200U,1.8,8,0.0,0.0,0.0,0.0,Intel,HD Graphics 6000,Mac OS (New),1.34,106021
Asus,ZenBook UX430UN,Ultrabook,14.0,1920x1080,0,0,0,Intel,i7,8550U,1.8,16,512.0,0.0,0.0,0.0,Nvidia,GeForce MX150,Windows 10,1.3,136792
Acer,Swift 3,Ultrabook,14.0,1920x1080,0,0,0,Intel,i5,8250U,1.6,8,256.0,0.0,0.0,0.0,Intel,UHD Graphics 620,Windows 10,1.6,70455
HP,250 G6,Notebook,15.6,1366x768,0,0,0,Intel,i5,7200U,2.5,4,0.0,0.0,500.0,0.0,Intel,HD Graphics 620,Windows 10,1.86,36042
